Strain,Species,Clade,Accession,Link,LOCATION,LAT,LON
CL1101.1,S. eubayanus,PB2,SAMN11565816,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565816/,Nahuelbuta,-37.792657,-72.998177
CL835.1,S. eubayanus,PB1,SAMN11565744,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565744/,Magallanes,-53.1586,-71.173362
CL824.1,S. eubayanus,PB1,SAMN11565753,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565753/,Karukinka,-54.10117,-69.356707
CL817.1,S. eubayanus,PB1,SAMN11565812,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565812/,Magallanes,-53.1586,-71.173362
CL816.1,S. eubayanus,PB1,SAMN11565748,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565748/,Karukinka,-54.10117,-69.356707
CL815.1,S. eubayanus,PB1,SAMN11565799,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565799/,Magallanes,-53.1586,-71.173362
CL814.1,S. eubayanus,PB1,SAMN11565811,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565811/,Magallanes,-53.1586,-71.173362
CL813.1,S. eubayanus,PB1,SAMN11565801,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565801/,Magallanes,-53.1586,-71.173362
CL812.1,S. eubayanus,PB1,SAMN11565772,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565772/,Karukinka,-54.10117,-69.356707
CL801.1,S. eubayanus,PB1,SAMN11565757,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565757/,Karukinka,-54.10117,-69.356707
CL621.1,S. eubayanus,PB1,SAMN11565743,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565743/,Osorno Volcano,-41.087108,-72.488971
CL619.1,S. eubayanus,PB1,SAMN11565758,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565758/,Osorno Volcano,-41.087108,-72.488971
CL606.1,S. eubayanus,PB1,SAMN11565787,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565787/,Osorno Volcano,-41.087108,-72.488971
CL605.1,S. eubayanus,PB1,SAMN11565784,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565784/,Osorno Volcano,-41.087108,-72.488971
CL471.2,S. eubayanus,PB1,SAMN11565771,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565771/,Coyhaique,-45.554026,-72.070972
CL467.2,S. eubayanus,PB1,SAMN11565776,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565776/,Coyhaique,-45.554026,-72.070972
CL450.1,S. eubayanus,PB1,SAMN11565754,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565754/,Coyhaique,-45.554026,-72.070972
CL449.1,S. eubayanus,PB1,SAMN11565745,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565745/,Coyhaique,-45.554026,-72.070972
CL448.1,S. eubayanus,PB1,SAMN11565749,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565749/,Coyhaique,-45.554026,-72.070972
CL447.3,S. eubayanus,PB1,SAMN11565746,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565746/,Coyhaique,-45.554026,-72.070972
CL446.2,S. eubayanus,PB1,SAMN11565750,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565750/,Coyhaique,-45.554026,-72.070972
CL444.2,S. eubayanus,PB1,SAMN11565789,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565789/,Coyhaique,-45.554026,-72.070972
CL1010.1,S. eubayanus,PB1,SAMN11565775,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565775/,Nahuelbuta,-37.792657,-72.998177
CL1009.1,S. eubayanus,PB1,SAMN11565786,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565786/,Paine Towers,-50.942197,-73.406869
CL1008.1,S. eubayanus,PB1,SAMN11565785,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565785/,Paine Towers,-50.942197,-73.406869
CL1007.1,S. eubayanus,PB1,SAMN11565755,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565755/,Paine Towers,-50.942197,-73.406869
CL1006.1,S. eubayanus,PB1,SAMN11565783,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565783/,Paine Towers,-50.942197,-73.406869
CL1005.1,S. eubayanus,PB1,SAMN11565800,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565800/,Paine Towers,-50.942197,-73.406869
CL1004.1,S. eubayanus,PB1,SAMN11565770,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565770/,Paine Towers,-50.942197,-73.406869
CL1003.1,S. eubayanus,PB1,SAMN11565751,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565751/,Paine Towers,-50.942197,-73.406869
CL1002.1,S. eubayanus,PB1,SAMN11565752,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565752/,Paine Towers,-50.942197,-73.406869
CL1001.1,S. eubayanus,PB1,SAMN11565788,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565788/,Paine Towers,-50.942197,-73.406869
